0,1,2
-0.042060517151573364,-0.001657562685290775,-10.592967401996585
-0.030699898820823322,-0.0012096972704172197,-10.595841440797688
-0.022408331310824668,-0.0008827646237784866,-10.597938995884471
-0.01635669450620529,-0.0006441100330838267,-10.599469840331123
-0.01193986008634659,-0.00046989652731356914,-10.600587075694708
-0.008716178693131741,-0.0003427236901390393,-10.601402442185405
-0.006363315144716282,-0.0002498896283102235,-10.60199749266415
-0.004646015012209407,-0.00018212228195360573,-10.602431747993363
-0.003392579185111562,-0.00013265323657223372,-10.602748649021592
-0.0024776940301103087,-9.654167008183595e-05,-10.602979900820934
-0.0018099001154319218,-7.018092272757269e-05,-10.603148643076635
-0.0013224462306469591,-5.093812898546485e-05,-10.603271764122905
-0.0009666144071302141,-3.689138523589114e-05,-10.603361589778084
-0.0007068479987972869,-2.6637687116683568e-05,-10.603427115962164
-0.0005171962032440957,-1.915290258947508e-05,-10.603474908220486
-0.0003787189400582801,-1.3689407686429304e-05,-10.603509758373429
-0.0002775927763504178,-9.701450154711696e-06,-10.603535163701036
-0.00020372880545955398,-6.790599422546684e-06,-10.603553676608028
-9.376583509871585e-05,1.0057492190635696e-05,-8.260711435384104
-3.091075935951116,-6.544401696525112,-14.38011823770286
-2.255283199756226,-1.104339399718981,-11.51286515122703
-1.646162660000419,-1.7057858563762514,-7.898464431148174
-1.2015207438614297,-1.2449380908238,-11.589165892737128
-0.8768037655539913,-0.9085751360715114,-12.874331629563269
-0.6399392765417823,-0.6631223928607302,-9.441181107887086
-0.46713580519392744,-0.48398695600638975,-9.567554792856026
-0.34071225502056146,-0.3531339418111614,-10.835808716596643
-0.24863718966904885,-0.2577259404288349,-10.453320704187794
-0.18143670235550657,-0.1880885369854593,-10.479800046256575
-0.1324218427241592,-0.13727387820167775,-10.523232464376902
-0.09665422631085166,-0.10018720448180754,-10.545021298362785
-0.07054607326592165,-0.0731200773634221,-10.560856639746422
-0.05148863746203824,-0.053365478534734154,-10.572405786675606
-0.03757914947464969,-0.0389478300699051,-10.58083386191898
-0.027427284462032006,-0.028425289042043327,-10.586984905797797
-0.020017965419339125,-0.020745544432584587,-10.591474175599547
-0.014610286585758775,-0.01514057978965461,-10.594750622574447
-0.010663494227445785,-0.01104986759351104,-10.597141900281336
-0.007782921577095481,-0.008064313732951134,-10.598887143379319
-0.005680523417651025,-0.005885345782473977,-10.60016088264753
-0.004146071798707682,-0.004295054373790622,-10.601090498235221
-0.003026133133203619,-0.003134401089150194,-10.601768957731194
-0.0022087249060460837,-0.002287313669508449,-10.602264112958057
-0.0016121173663551291,-0.0016690782638159195,-10.602625485084944
-0.0011766605641042164,-0.0012178675630776703,-10.602889216875377
-0.0008588193109746536,-0.0008885576513096196,-10.603081686837283
-0.0006268197246724278,-0.0006482154046522666,-10.60322214719087
-0.00045747188321945144,-0.00047280504904781244,-10.603324649002346
-0.00033385070553172854,-0.0003447843472984628,-10.603399447336937
-0.00024360347336591976,-0.00025135037303874276,-10.603454026834562
-0.00017771467115973108,-0.00018315904193639382,-10.603493850071242
-0.00012960434904343135,-0.00013339068673781925,-10.603522903830623
-9.44701561155301e-05,-9.706811759608824e-05,-10.603544097886061
-6.88071055327187e-05,-7.055873587737577e-05,-10.603559555878215
-5.005708472833307e-05,-5.1211404611300554e-05,-10.603570827746315
-3.6353038564905964e-05,-3.709116196392538e-05,-10.603579044677504
-2.6332327450799922e-05,-2.6785836227429914e-05,-10.603585032252528
-1.9000423990864788e-05,-1.926479359592549e-05,-10.603589393021696
-1.3631443555377076e-05,-1.3775787140359235e-05,-10.603592566728263
-9.695599376534199e-06,-9.76983387024779e-06,-10.603594874329096
-6.806186904118663e-06,-6.846273268836973e-06,-10.60359655004122
-4.68098176022366e-06,-4.712669894612375e-06,-10.603597764827335
-3.1140129675338216e-06,-3.1556391274123247e-06,-10.603598643436296
-1.954916801135339e-06,-2.0193552124473937e-06,-10.603599276914462
-1.0939190016998873e-06,-1.1901669574206107e-06,-10.603599731701632
-4.5095785409502705e-07,-5.851031068901685e-07,-10.60360005628518
3.249766485965173e-08,-1.4361652532534473e-07,-10.603600286062072
3.991332367762866e-07,1.784946863066462e-07,-10.603600446838527
-2.537514158009824,-0.26534493212925053,-9.638614398457104
-2.161440651314052,-1.1333698310946092,-9.023613888830567
-1.5052952058866391,0.8791105906846073,-7.930692012924251
0.11740542917395969,1.202511760596819,-9.688660285069567
-51.446295518236056,-43.01478206976848,-8.95009198663416
-137.64890007597026,-106.41277448638833,15.151315533821968
-101.21525350010012,-85.25837061427984,11.826533440648861
-72.34320299028485,-70.28693763574023,4.325743975700703
-53.12408917261991,-45.34798800906043,0.7247205468636406
-38.81289616699339,-36.67230490514406,-2.3836139250607262
-28.328550734135305,-25.8161602252342,-4.6038646502732465
-20.67554200287313,-18.841638164502914,-6.22464713896219
-15.089930233376467,-13.751271584577255,-7.407615307321584
-11.013296166513003,-10.03612703490071,-8.271007021223715
-8.037989545136561,-7.324680720844006,-8.901153390444732
-5.866480716166726,-5.3457722914029056,-9.361065854034967
-4.281618708795531,-3.9014975177207045,-9.696733345141018
-3.124917175464577,-2.847418069800526,-9.941720772344846
-2.2807058472832216,-2.0781172483146326,-10.120525401392443
-1.6645635082425834,-1.51665791276789,-10.251026510106374
-1.2148758678329874,-1.1068884392127096,-10.346273259454493
-0.8866741266747158,-0.8078272926846861,-10.415789563774387
-0.6471380921537303,-0.5895646599950368,-10.466526445481296
-0.47231415547586164,-0.4302712961512186,-10.503557107538201
-0.34471992814804636,-0.3140154608359567,-10.530584229802773
-0.251596000748089,-0.22916963242969934,-10.550310217768615
1.1993738226939152,-0.2101353271734948,-10.966833990608363
0.8753831078280754,-0.15350742560458636,-10.868850138727636
0.6388845876339162,-0.11204643186525853,-10.797210397171654
0.4662814663015331,-0.08177060898069217,-10.744909431499526
0.34030961827469186,-0.05967296481714675,-10.706736084477932
0.24837012027152122,-0.04354616889792821,-10.678875246538606
0.18126868795952508,-0.031777323462245544,-10.65854110554056
0.1322951527764289,-0.023188930175245225,-10.643700298156698
0.09655217097259351,-0.016921556620598546,-10.632868770281744
0.07046544268749318,-0.012347975310604317,-10.624963392650619
0.05142628068776925,-0.009010444979112067,-10.619193649797726
0.03753074619382136,-0.006574920500766105,-10.614982588736822
0.027389258559939414,-0.004797629704193913,-10.61190912376608
0.019987639360580255,-0.0035006793204470843,-10.60966592791473
0.014585695731038352,-0.0025542522142537,-10.608028700373811
0.010643202045125819,-0.0018636150556228105,-10.606833736509307
0.007765877502174347,-0.0013596369156170828,-10.605961557408891
0.005665958476480227,-0.00099187024286917,-10.605324962034432
0.00413342237474724,-0.0007235015141066295,-10.604860307236404
0.0030149854001898574,-0.0005276665189732535,-10.604521143362962
0.002198774225302768,-0.00038476152253961044,-10.604273569387091
0.0016031388469398028,-0.0002804810395766379,-10.604092842824379
0.0011684874694076158,-0.00020438588133351183,-10.603960905461133
0.0008513274003303941,-0.00014885825622656056,-10.603864577612137
0.0006199158339038055,-0.00010833919183107753,-10.603794240129725
0.00045108544336409446,-7.877222295662239e-05,-10.603742872492617
0.00032792780008577475,-5.719721971155245e-05,-10.6037053508153
0.0002381023985195339,-4.145410060061925e-05,-10.603677935392874
0.00017260266139370516,-2.9966559241189606e-05,-10.603657896846075
0.00012485519992934467,-2.1584373267213527e-05,-10.603643243087784
9.006252704035154e-05,-1.546820793881922e-05,-10.603632520208553
